"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42628-40019","W","Brendan","Brendan Leipsic","Leipsic","3.993478194527004","46","3600","CAR@WSH","WSH","CAR","","","","",""
"42628-66671","D","Jonas","Jonas Siegenthaler","Siegenthaler","5.565217391304348","46","3600","CAR@WSH","WSH","CAR","","","","",""
"42628-66675","W","Daniel","Daniel Sprong","Sprong","8.580000305175782","5","3600","ANH@STL","ANH","STL","","","","",""
"42628-82045","W","Martin","Martin Necas","Necas","8.724390541634909","41","3600","CAR@WSH","CAR","WSH","","","","",""
"42628-8847","D","Robert","Robert Bortuzzo","Bortuzzo","3.940740797254774","27","3600","ANH@STL","STL","ANH","","","","",""
"42628-12447","D","Erik","Erik Gudbranson","Gudbranson","5.6000001488662345","41","3600","ANH@STL","ANH","STL","","","","",""
"42628-62723","W","Ondrej","Ondrej Kase","Kase","8.771795028295273","39","3600","ANH@STL","ANH","STL","","","","",""
"42628-70925","W","Brett","Brett Howden","Howden","6.01818154074929","44","3600","NYI@NYR","NYR","NYI","","","","",""
"42628-61245","W","Devin","Devin Shore","Shore","4.668965306775323","29","3600","ANH@STL","ANH","STL","","","","",""
"42628-12613","D","Radko","Radko Gudas","Gudas","6.852174178413723","46","3600","CAR@WSH","WSH","CAR","","","","",""
"42628-13657","C","Derek","Derek Grant","Grant","7.167646969065947","34","3600","ANH@STL","ANH","STL","IR","Shoulder","","",""
"42628-54194","D","Josh","Josh Manson","Manson","4.984615619365986","26","3600","ANH@STL","ANH","STL","","","","",""
"42628-70579","D","Michal","Michal Kempny","Kempny","8.066666497124565","36","3600","CAR@WSH","WSH","CAR","","","","",""
"42628-15307","W","Nick","Nick Cousins","Cousins","7.177500152587891","40","3600","CGY@MON","MON","CGY","","","","",""
"42628-15340","D","Joel","Joel Edmundson","Edmundson","6.5777777777777775","45","3600","CAR@WSH","CAR","WSH","","","","",""
"42628-37880","W","Scott","Scott Laughton","Laughton","7.007999877929688","25","3600","BOS@PHI","PHI","BOS","","","","",""
"42628-58878","C","Oskar","Oskar Sundqvist","Sundqvist","8.530000305175781","40","3600","ANH@STL","STL","ANH","","","","",""
"42628-58881","W","Sammy","Sammy Blais","Blais","7","20","3500","ANH@STL","STL","ANH","IR","Wrist","","",""
"42628-79877","D","Jake","Jake Walman","Walman","3.200000047683716","1","3500","ANH@STL","STL","ANH","","","","",""
"42628-66581","D","Brendan","Brendan Guhle","Guhle","5.733333163791233","18","3500","ANH@STL","ANH","STL","","","","",""
"42628-117268","D","Yegor","Yegor Rykov","Rykov","0","0","3500","NYI@NYR","NYR","NYI","","","","",""
"42628-8731","D","Karl","Karl Alzner","Alzner","4.088888804117839","9","3500","CGY@MON","MON","CGY","","","","",""
"42628-11295","D","Steven","Steven Kampfer","Kampfer","5.266666836208767","9","3500","BOS@PHI","BOS","PHI","","","","",""
"42628-96800","D","Urho","Urho Vaakanainen","Vaakanainen","1.6","5","3500","BOS@PHI","BOS","PHI","","","","",""
"42628-8226","D","Jay","Jay Bouwmeester","Bouwmeester","4.617391171662704","46","3500","ANH@STL","STL","ANH","","","","",""
"42628-66598","D","Jakub","Jakub Zboril","Zboril","0.800000011920929","2","3500","BOS@PHI","BOS","PHI","","","","",""
"42628-15401","D","Kevan","Kevan Miller","Miller","5.98974374624399","39","3500","BOS@PHI","BOS","PHI","O","Kneecap","","",""
"42628-68648","C","Sean","Sean Kuraly","Kuraly","6.054347826086956","46","3500","BOS@PHI","BOS","PHI","","","","",""
"42628-66608","D","Jeremy","Jeremy Lauzon","Lauzon","6.400000095367432","1","3500","BOS@PHI","BOS","PHI","","","","",""
"42628-68663","D","Andy","Andy Welinski","Welinski","4.461538461538462","26","3500","BOS@PHI","PHI","BOS","","","","",""
"42628-8764","D","Carl","Carl Gunnarsson","Gunnarsson","5.0588235294117645","17","3500","ANH@STL","STL","ANH","IR","Arm","","",""
"42628-53866","D","Adam","Adam Pelech","Pelech","7.663158215974507","38","3500","NYI@NYR","NYI","NYR","IR","Achilles","","",""
"42628-58986","D","Erik","Erik Burgdoerfer","Burgdoerfer","0.800000011920929","4","3500","CAR@WSH","WSH","CAR","","","","",""
"42628-8827","D","Andrew","Andrew MacDonald","MacDonald","6.2468086405003325","47","3500","CGY@MON","CGY","MON","","","","",""
"42628-66689","D","Oliver","Oliver Kylington","Kylington","3.5058822631835938","34","3500","CGY@MON","CGY","MON","","","","",""
"42628-8838","D","Johnny","Johnny Boychuk","Boychuk","8.0500001453218","42","3500","NYI@NYR","NYI","NYR","","","","",""
"42628-11410","D","Justin","Justin Braun","Braun","6.323809669131324","42","3500","BOS@PHI","PHI","BOS","O","Groin","","",""
"42628-21650","D","Xavier","Xavier Ouellet","Ouellet","6.484210365696957","19","3500","CGY@MON","MON","CGY","","","","",""
"42628-66712","D","Noah","Noah Juulsen","Juulsen","6.742857433500744","21","3500","CGY@MON","MON","CGY","O","Head","","",""
"42628-8860","D","John","John Moore","Moore","5.866666666666666","15","3500","BOS@PHI","BOS","PHI","","","","",""
"42628-21690","D","Chris","Chris Wideman","Wideman","5.9720001220703125","25","3500","ANH@STL","ANH","STL","","","","",""
"42628-82112","D","Juuso","Juuso Valimaki","Valimaki","5.900000254313151","24","3500","CGY@MON","CGY","MON","O","Knee","","",""
"42628-8391","D","Dennis","Dennis Seidenberg","Seidenberg","0","0","3500","NYI@NYR","NYI","NYR","","","","",""
"42628-8903","D","Marco","Marco Scandella","Scandella","6.111111111111111","36","3500","CGY@MON","MON","CGY","","","","",""
"42628-43207","D","Jake","Jake Dotchin","Dotchin","2.339999961853027","20","3500","ANH@STL","STL","ANH","","","","",""
"42628-54475","D","Christian","Christian Folin","Folin","5.1200000762939455","5","3500","CGY@MON","MON","CGY","","","","",""
"42628-108240","D","Tarmo","Tarmo Reunanen","Reunanen","0","0","3500","NYI@NYR","NYR","NYI","","","","",""
"42628-8403","W","Justin","Justin Williams","Williams","11.626829566025153","82","3500","CAR@WSH","CAR","WSH","","","","",""
